Date: 23/08/2026 10:21:08
ATO app - myDeductions

Trips
Uploaded,Type,Status,Date,Vehicle,Purpose of trip,Start odometer*,End odometer*,Start location#,End location#,Trip details,Trip distance*,Record multiple trips*,Record the return journey*,Total Km,Logbook trip
Not uploaded,Employee,Completed,21/07/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,22/07/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,28/07/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,29/07/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,04/08/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,05/08/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,08/08/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,11/08/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,12/08/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,18/08/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,19/08/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,25/08/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,26/08/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,01/09/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,02/09/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,08/09/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,09/09/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,15/09/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,16/09/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,22/09/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,23/09/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,29/09/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,30/09/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,06/10/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,07/10/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,13/10/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,14/10/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,20/10/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,21/10/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,27/10/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,28/10/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,03/11/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,04/11/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,10/11/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,11/11/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,17/11/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,18/11/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,24/11/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,25/11/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,01/12/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,02/12/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,08/12/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,09/12/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,15/12/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,16/12/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,22/12/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,23/12/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,29/12/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,30/12/2024,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,12/01/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,13/01/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,19/01/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,20/01/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,26/01/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,27/01/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,02/02/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,03/02/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,09/02/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,10/02/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,16/02/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,17/02/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,23/02/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,24/02/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,02/03/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,03/03/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,09/03/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,10/03/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,16/03/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,17/03/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,23/03/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,24/03/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,30/03/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,31/03/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,06/04/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,07/04/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,13/04/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,14/04/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,20/04/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,21/04/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,27/04/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,28/04/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,04/05/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,05/05/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,11/05/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,12/05/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,18/05/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,19/05/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,25/05/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,26/05/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,26/05/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,01/06/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,02/06/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,08/06/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,09/06/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,15/06/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,16/06/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,22/06/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,23/06/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,29/06/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,30/06/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,06/07/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,07/07/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,13/07/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,14/07/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,20/07/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,21/07/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,27/07/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,28/07/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,03/08/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,04/08/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,10/08/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,11/08/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,17/08/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,18/08/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,24/08/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,25/08/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,31/08/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,01/09/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,07/09/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,08/09/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,14/09/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,15/09/2025,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
